chemical formula,crystal system,Structure Type,structure rank,ICSD ref #,space group,avg bond length (Å),polyhedral volume (Å^3),distortion index,quadratic elongation,bond angle variance (deg^2),ECoN,cation,Cation rank,ionic radius,charge,,,
V2O5,orthorhombic,V2O5,7,15798,pmnm,1.9875,9.529,0.13922,1.1036,203.3648,3.0811,V,50,0.54,5,,0,unknown
R-Nb2O5,monoclinic,,7,25765,A 2/m,2.0158,10.3941,0.08177,1.0433,114.337,3.4818,Nb,51,0.64,5,,1,rutile
Mo0.9V1.1O5-V/Mo,monoclinic,,7,416494,C 2/m,1.9725,9.5867,0.08685,1.0578,149.8527,3.2988,V,50,0.58,4.18,,2,rutile-like
Mo0.9V1.1O5-V/Mo,monoclinic,,7,416494,C 2/m,1.9725,9.5867,0.08685,1.0578,149.8527,3.2988,Mo,61,0.59,6,,3,perovskites
H-Nb2O5-unit cell edge,monoclinic,,6,,P 2/m,2.0341,10.4416,0.08696,1.0597,164.5865,3.8242,Nb,51,0.64,5,,4,columbite
H-Nb2O5-normal,monoclinic,,6,,P 2/m,1.9683,10.1598,0.01918,1.0009,0.1537,5.8963,Nb,51,0.64,5,,5,corundum
H-Nb2O5-edge share,monoclinic,,6,,P 2/m,2.0034,10.2506,0.06509,1.0368,103.894,4.4238,Nb,51,0.64,5,,6,Wadsley-Roth
Mo0.2V1.8O5-V/Mo,monoclinic,V2O5,7,99813,pmmn,1.9832,9.536,0.13616,1.0959,188.9689,3.0604,V,50,0.54,4.89,,7,W-R like
Mo0.2V1.8O5-V/Mo,monoclinic,V2O5,7,99813,pmmn,1.9832,9.536,0.13616,1.0959,188.9689,3.0604,Mo,61,0.59,6,,8,layered structures
O20V5W3-W,monoclinic,,7,18302,C 2/m,1.967,9.4218,0.10366,1.0662,173.5605,3.1467,W,62,0.62,5,,,
O20V5W3-V ,monoclinic,,7,18302,C 2/m,1.9529,9.3181,0.10947,1.0712,152.4886,1.2361,V,50,0.54,5,,,
O20V5W3-V/W,monoclinic,,7,18302,C 2/m,1.9653,9.4985,0.06294,1.0484,142.3588,4.6435,V,50,0.54,5,,,
O20V5W3-V/W,monoclinic,,7,18302,C 2/m,1.9653,9.4985,0.06294,1.0484,142.3588,4.6435,W,62,0.62,5,,,
V2O5,orthorhombic,,7,43132,pmmn,2.1158,10.169,0.14214,1.1859,571.7073,3.6478,V,50,0.54,5,,,
MoV2O8-Mo,orthorhombic,,7,25378,cmm2,1.9382,9.291,0.08133,1.0434,94.8083,4.551,Mo,61,0.59,6,,,
MoV2O8-V,orthorhombic,,7,25378,cmm2,2.0044,9.7696,0.07787,1.0725,221.339,4.5367,V,50,0.54,5,,,
MoO3-1,monoclinic,,0,86426,P 21/c,1.9449,9.2692,0.0987,1.0495,131.2618,3.2399,Mo,61,0.59,6,,,
MoO3-2,monoclinic,,0,86426,P 21/c,1.955,9.727,0.05471,1.021,52.8755,5.0004,Mo,61,0.59,6,,,
LiSbWO6-Li,orthorhombic,Fe2WO6,4,202748,pbcn,2.129,12.5944,0.01078,1.0145,51.2747,5.9723,Li,10,0.76,1,,,
LiSbWO6-Sb,orthorhombic,Fe2WO6,4,202748,pbcn,1.9845,10.2988,0.0044,1.0079,27.5041,5.9951,Sb,153,0.6,5,,,
LiSbWO6-W,orthorhombic,Fe2WO6,4,202748,pbcn,2.0193,10.2917,0.10067,1.0575,147.5839,3.6929,W,62,0.6,6,,,
LiMoO2-Li,trigonal,alpha-NaFeO2,8,183608,R -3 m,2.1305,12.7109,0,1.0096,36.0849,6,Li,10,0.76,1,,,
LiMoO2-Mo,trigonal,alpha-NaFeO2,8,183608,R -3 m,2.0817,11.9705,0,1.0032,11.8765,6,Mo,61,0.69,3,,,
Li0.2ReO3,cubic,,3,35669,I m -3,1.8865,8.9508,0,1.0001,0.4003,6,Re,72,0.55,5.8,,,
CuNb2O6-Cu,monoclinic,CuNb2O6,4,79457,P 21/c,2.0987,12.0459,0.06732,1.0207,35.4174,4.8496,Cu,110,0.73,2,,,
CuNb2O6-Nb1,monoclinic,CuNb2O6,4,79457,P 21/c,2.0114,10.4544,0.05478,1.0295,86.4716,4.942,Nb,51,0.64,5,,,
CuNb2O6-Nb2,monoclinic,CuNb2O6,4,79457,P 21/c,2.0181,10.506,0.06417,1.0338,98.5237,4.4843,Nb,51,0.64,5,,,
AlWO4-Al,monoclinic,rutile-like,2,4164,C 2/m,1.8985,9.0164,0.00727,1.008,28.0254,5.9885,Al,131,0.535,3,,,
AlWO4-W,monoclinic,rutile-like,2,4164,C 2/m,1.9575,9.9163,0.02129,1.0063,18.4137,5.8511,W,62,0.62,5,,,
LiCoO2-Li,trigonal,alpha-NaFeO2,8,51381,R -3 m H,2.0954,12.1014,0,1.0091,32.4239,6,Li,10,0.76,1,,,
LiCoO2-Co,trigonal,alpha-NaFeO2,8,51381,R -3 m H,1.9183,9.3246,0,1.0062,20.9589,6,Co,90,0.61,3,,,
LiMnO2-Mn/Li,orthorhombic,LiMnO2,8,81050,pmnmZ,2.0649,11.596,0.07466,1.0145,7.2162,4.8118,Mn,70,0.58,3,,,
LiMnO2-Mn/Li,orthorhombic,LiMnO2,8,81050,pmnmZ,2.0649,11.596,0.07466,1.0145,7.2162,4.8118,Li,10,0.76,1,,,
LiMnO2-Li/Mn,orthorhombic,LiMnO2,8,81050,pmnmZ,2.1492,13.0239,0.07003,1.0167,28.9468,4.0598,Li,10,0.76,1,,,
LiMnO2-Li/Mn,orthorhombic,LiMnO2,8,81050,pmnmZ,2.1492,13.0239,0.07003,1.0167,28.9468,4.0598,Mn,70,0.58,3,,,
BaMoO3,cubic,perovskite,3,43799,Pm-3m,2.0202,10.9931,0,1,0,6,Mo,61,0.65,4,,,
SrMoO3,cubic,perovskite,3,71994,Pm-3m,1.9826,10.3899,0,1,0,6,Mo,61,0.65,4,,,
SrMnO3,cubic,perovskite,3,17243,Pm-3m,1.9043,9.2071,0,1,0,6,Mn,70,0.53,4,,,
ReO3,cubic,perovskite,3,16810,pm -3 m,1.867,8.677,0,1,0,6,Re,72,0.55,6,,,
Li0.93WO3,cubic,perovskite,3,28882,pm -3 m,1.861,8.5937,0,1,0,6,W,62,0.62,5.07,,,
NaNb3O8-Nb1,orthorhombic,,7,202400,pmnm,2.017,10.3297,0.1023,1.0549,141.262,2.4517,Nb,51,0.64,5,,,
NaNb3O8-Nb2,orthorhombic,,7,202400,pmnm,2.1273,11.8022,0.15692,1.0901,186.034,3.0088,Nb,51,0.64,5,,,
